sequenceID,status,rci2Status,referenceContext,closeRelativeCoverage,sequenceQuality,geographicCoverage,perSpeciesDepth,taxonomicStability,candidateSpeciesInHitTable,claimScope
COMP100-001-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-002-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-003-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-004-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-005-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-006-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-007-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-008-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-009-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-010-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
