vseaID,runID,sequenceID,segmentID,segmentHash,relationType,targetID,targetLabel,safeRank,decisionClass,publicationBucket,exportState,claimState,evidenceType,sourceID,claimBoundary,caveats,blockers,rulesetVersion,provenanceHash
vsea:COMP100-001-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-001-species_safe,segment:COMP100-001-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,249996130fadcdbef798767d6f0bcdb475531543f3b212634cade684e235e395
vsea:COMP100-002-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-002-species_safe,segment:COMP100-002-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,a7e3fa5447ba85cc2333d10bb704a42942d9cac7606c6a6aab7c9704deeee8f4
vsea:COMP100-003-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-003-species_safe,segment:COMP100-003-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,ecfe6e28af88e3757fc6e89b0a83c88c37493cf5d0fff7ebd6989cc52d0e13e7
vsea:COMP100-004-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-004-species_safe,segment:COMP100-004-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,c43e604f44793a458dc0733dd0b7bd3ad0ba45c12983ac6486cb969b2fbf4e2e
vsea:COMP100-005-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-005-species_safe,segment:COMP100-005-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,143957708973c71fb2e0f5865e2ffcf3e2a85be12212a7fc8dfde5c393f41747
vsea:COMP100-006-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-006-species_safe,segment:COMP100-006-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,5b0be022b37c3ca1a17c0004576ae84ac42ce02f55150d5eeeb7ce11ebf9c6b8
vsea:COMP100-007-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-007-species_safe,segment:COMP100-007-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,532aa1c8db666b584dbfb67b7d0d4611e904d41f8a93fd18e793dc8fdc40093e
vsea:COMP100-008-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-008-species_safe,segment:COMP100-008-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,0586df50d5b5888bb332a7c962dddefbc176ce61ea171d982716a6f1d7f83e67
vsea:COMP100-009-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-009-species_safe,segment:COMP100-009-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,5cb45bcc35679e745f4a7340779ca828cbd5fbbea3b3391bf8db45ad435942a0
vsea:COMP100-010-species_safe:taxon,cc3a9564cc8e433b8a22ba1d1fb63d77,COMP100-010-species_safe,segment:COMP100-010-species_safe:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,66190aec49ec371ca78fc467677410e9dcb3afa702660163a482ea89bba25d60
