sequenceID,segmentStart,segmentEnd,segmentLength,referenceID,taxon,rank,identityPercent,queryCoveragePercent,alignedLength,safeTaxon,safeRank,claimBoundary
COMP100-001-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-001-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-002-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-002-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-003-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-003-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-004-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-004-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-005-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-005-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-006-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-006-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-007-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-007-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-008-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-008-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-009-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-009-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-010-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-010-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-011-species_safe,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
COMP100-011-species_safe,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
