sequenceID,blocker,repairOrReason,status
ADV100-011-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-012-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-013-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-014-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-015-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-016-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-017-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-018-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-019-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-020-close_sibling_ambiguity,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-021-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-021-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-022-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-022-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-023-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-023-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-024-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-024-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-025-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-025-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-026-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-026-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-027-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-027-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-028-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-028-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-029-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-029-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-030-weak_coverage_short_fragment,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-030-weak_coverage_short_fragment,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
ADV100-031-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-032-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-033-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-034-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-035-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-036-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-037-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-038-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-039-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-040-no_match_novel_lineage,no reference hit returned,Run the sequence against a marker-appropriate reference database and attach hit metrics.,pass
ADV100-041-metadata_blocked_taxonomy_safe,publication blocked: missing required Occurrence core field occurrenceID,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,pass
