sequenceID,topHit,topHitRank,decisionClass,publicationBucket,markerProfile,exactMatchGate,ambiguityLcaGate,barcodeGapGate,diagnosticKmerGate,markerProfileGate,occurrenceCoreGate,dnaMetadataGate,assayGate,hardGateViolation,auditConclusion
COMP100-001-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-002-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-003-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-004-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-005-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-006-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-007-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-008-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-009-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-010-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-011-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-012-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-013-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-014-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
COMP100-015-species_safe,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
