sequenceID,taxonomicStatus,decisionClass,publicationStatus,publicationStage,publicationBucket,exportState,candidateTaxon,candidateRank,publishedTaxon,publishedRank,stateExplanation
COMP100-001-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-002-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-003-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-004-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-005-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-006-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-007-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-008-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-009-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-010-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-011-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-012-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-013-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-014-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-015-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-016-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-017-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-018-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-019-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
