sequenceID,topHit,identity,queryCoverage,alignedLength,identityThreshold,coverageThreshold,minAlignedLength,identityPass,coveragePass,lengthPass,exactMatchGate
ADV100-001-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-002-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-003-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-004-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-005-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-006-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-007-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-008-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-009-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-010-true_species_safe_positive,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-011-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-012-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-013-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-014-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-015-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-016-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-017-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-018-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-019-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-020-close_sibling_ambiguity,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-021-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-022-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-023-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-024-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-025-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-026-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-027-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-028-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-029-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-030-weak_coverage_short_fragment,Aedes albopictus,99.5,72.0,658,99.0,80.0,500,True,False,True,False
ADV100-031-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-032-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-033-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-034-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-035-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-036-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-037-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-038-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-039-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-040-no_match_novel_lineage,,,,,99.0,80.0,500,False,False,True,False
ADV100-041-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-042-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-043-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-044-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-045-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-046-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-047-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-048-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-049-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-050-metadata_blocked_taxonomy_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-051-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-052-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-053-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-054-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-055-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-056-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-057-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-058-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-059-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-060-assay_control_failure,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-061-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-062-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-063-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-064-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-065-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-066-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-067-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-068-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-069-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-070-wrong_taxonomy_name_conflict,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
ADV100-071-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-072-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-073-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-074-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-075-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
ADV100-076-genome_segment_non_barcode_marker,Aedes albopictus,99.6,96.0,658,99.0,80.0,1,True,True,True,True
