sequenceID,topHit,identity,queryCoverage,alignedLength,identityThreshold,coverageThreshold,minAlignedLength,identityPass,coveragePass,lengthPass,exactMatchGate
COMP100-001-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-002-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-003-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-004-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-005-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-006-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-007-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-008-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-009-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-010-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-011-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-012-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-013-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-014-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-015-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-016-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-017-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-018-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-019-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-020-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-021-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-022-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-023-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-024-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-025-species_safe,Aedes albopictus,99.6,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-026-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-027-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-028-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-029-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-030-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-031-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-032-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-033-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-034-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
COMP100-035-genus_safe_ambiguous,Aedes albopictus,99.4,96.0,658,99.0,80.0,500,True,True,True,True
