sequenceID,taxonomicStatus,decisionClass,publicationStatus,publicationStage,publicationBucket,exportState,candidateTaxon,candidateRank,publishedTaxon,publishedRank,stateExplanation
ADV100-001-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-002-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-003-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-004-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-005-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-006-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-007-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-008-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-009-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-010-true_species_safe_positive,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-011-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-012-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-013-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-014-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-015-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-016-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-017-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-018-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-019-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-020-close_sibling_ambiguity,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-021-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-022-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-023-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-024-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-025-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-026-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-027-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-028-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
