cell_id,occurrence_count,dataset_count,gap_priority_score,gap_priority_label,no_evidence,neighbor_evidence,recency_deficit,uncertainty_burden,source_diversity_gap,reasons
grid:4:0:0,1,1,28.42,Low priority,0.0,0.3333,0.0,0.0,0.6,Occupied cell remains below sampling coverage threshold; Dataset/source diversity is low
grid:4:0:1,0,0,77.0,High priority for survey,1.0,0.6,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:2,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:3,1,1,35.08,Medium priority for survey,0.0,0.6667,0.0,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:1:0,0,0,77.0,High priority for survey,1.0,0.6,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:1:1,6,1,16.0,Low priority,0.0,0.5,0.0,0.0,0.6,Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:1:2,21,2,18.0,Low priority,0.0,0.75,0.0,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:1:3,16,3,16.0,Low priority,0.0,0.8,0.0,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:2:0,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:1,7,2,18.0,Low priority,0.0,0.75,0.0,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:2:2,168,2,23.0,Low priority,0.0,1.0,0.0,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:2:3,26,2,23.0,Low priority,0.0,1.0,0.0,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:3:0,2,1,35.08,Medium priority for survey,0.0,0.6667,0.0,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:3:1,10,4,16.0,Low priority,0.0,0.8,0.0,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:3:2,23,3,20.0,Low priority,0.0,1.0,0.0,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:3:3,19,4,20.0,Low priority,0.0,1.0,0.0,0.0,0.0,Neighboring cells contain occurrence evidence
