sequenceID,blocker.kind,severity,field,blocker,action,unlockable,taxonomicStatus,publicationBucket,exportState
COMP100-026-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-027-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-028-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-029-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-030-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-031-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-032-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-033-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-034-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-035-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-036-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-037-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-038-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-039-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-040-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-041-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-042-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-043-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-044-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-045-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-046-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-047-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-048-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-049-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-050-genus_safe_ambiguous,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
COMP100-051-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-051-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-052-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-052-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-053-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-053-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-054-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-054-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-055-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-055-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-056-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-056-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-057-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-057-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-058-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-058-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-059-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-059-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-060-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-060-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-061-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-061-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-062-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-062-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-063-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-063-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-064-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
