segmentID,sequenceID,segmentStart,segmentEnd,segmentLength,canonicalPolicy,segmentHash,sequenceMD5,rulesetVersion,coordinateStatus,provenanceHash
segment:ADV100-001-true_species_safe_positive:1-622,ADV100-001-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,dd1c52906b98c90d76eb4974db132a198e2c8c6a2d66fa12d2dcee880da5c9b7
segment:ADV100-002-true_species_safe_positive:1-622,ADV100-002-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,c20318d903dddb2016e9b2d0f362dd7980c04f481515f39c97dd5de1004b2fe0
segment:ADV100-003-true_species_safe_positive:1-622,ADV100-003-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,ff7477f7fc82d18f0de68ed701281237da19d40f28051ed8cca048e3811b64a7
segment:ADV100-004-true_species_safe_positive:1-622,ADV100-004-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,1a07e9ad4b1b5da2f248299d71c6a762b9a2661b6b660a6376a281637a4be844
segment:ADV100-005-true_species_safe_positive:1-622,ADV100-005-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,2d6b8ff55787286129d53de9760e8d67d475bb7110c6a08229b12162b84d2a78
segment:ADV100-006-true_species_safe_positive:1-622,ADV100-006-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,1d5316b6b18e7f578cf02131ce23eead739eb55addee7dc84c8fdb2713ec570b
segment:ADV100-007-true_species_safe_positive:1-622,ADV100-007-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,8d0541675ac2374c47929d4e06f2d3f89670116ba17832a69d39b2050643998a
segment:ADV100-008-true_species_safe_positive:1-622,ADV100-008-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,c51923d1328470c699e9813f42b5123e86e57f12263858dcdf3579cfc62a1116
segment:ADV100-009-true_species_safe_positive:1-622,ADV100-009-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,d4acad45ab135e6867c5426275ad4f36d121097c82b3830786fab412af6a571a
segment:ADV100-010-true_species_safe_positive:1-622,ADV100-010-true_species_safe_positive,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,c21f0230d21701208a8d5bbd9ebe7d6a5e61fcf21d303346f4eaf56bb3b11dde
