cell_id,occurrence_count,dataset_count,gap_priority_score,gap_priority_label,no_evidence,neighbor_evidence,recency_deficit,uncertainty_burden,source_diversity_gap,reasons
grid:4:0:0,27,4,21.56,Low priority,0.0,1.0,0.05,0.037,0.0,Neighboring cells contain occurrence evidence
grid:4:0:1,3,2,24.0,Low priority,0.0,1.0,0.05,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:0:2,8,3,21.0,Low priority,0.0,1.0,0.05,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:0:3,3,2,24.0,Low priority,0.0,1.0,0.05,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:1:0,28,2,26.75,Low priority,0.0,1.0,0.0,0.25,0.3,Neighboring cells contain occurrence evidence
grid:4:1:1,16,4,21.0,Low priority,0.0,1.0,0.05,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:1:2,8,2,27.75,Low priority,0.0,1.0,0.05,0.25,0.3,Neighboring cells contain occurrence evidence
grid:4:1:3,5,3,21.0,Low priority,0.0,1.0,0.05,0.0,0.0,Neighboring cells contain occurrence evidence
grid:4:2:0,2,1,51.25,Medium priority for survey,0.0,1.0,0.1,0.5,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:2:1,14,2,26.14,Low priority,0.0,1.0,0.05,0.1429,0.3,Neighboring cells contain occurrence evidence
grid:4:2:2,11,2,25.36,Low priority,0.0,1.0,0.05,0.0909,0.3,Neighboring cells contain occurrence evidence
grid:4:2:3,18,2,25.67,Low priority,0.0,1.0,0.05,0.1111,0.3,Neighboring cells contain occurrence evidence
grid:4:3:0,3,1,27.0,Low priority,0.0,1.0,0.05,0.0,0.6,Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:3:1,8,2,24.0,Low priority,0.0,1.0,0.05,0.0,0.3,Neighboring cells contain occurrence evidence
grid:4:3:2,60,3,20.25,Low priority,0.0,1.0,0.0,0.0167,0.0,Neighboring cells contain occurrence evidence
grid:4:3:3,86,4,20.7,Low priority,0.0,1.0,0.0,0.0465,0.0,Neighboring cells contain occurrence evidence
