sequenceID,expectedDecisionClass,actualDecisionClass,taxonomicStatus,publicationBucket,exportState,markerProfile,referenceCompletenessStatus,candidateTaxon,publishedTaxon,blockers,pass
COMP100-001-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-002-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-003-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-004-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-005-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-006-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-007-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-008-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-009-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-010-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-011-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-012-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-013-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-014-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
COMP100-015-species_safe,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,not_measured_without_external_reference_audit,Aedes albopictus,Aedes albopictus,,True
