sequenceID,status,intraMaxDistance,interMinDistance,barcodeGap
COMP100-001-species_safe,pass,0.009,0.018,0.009
COMP100-002-species_safe,pass,0.009,0.018,0.009
COMP100-003-species_safe,pass,0.009,0.018,0.009
COMP100-004-species_safe,pass,0.009,0.018,0.009
COMP100-005-species_safe,pass,0.009,0.018,0.009
COMP100-006-species_safe,pass,0.009,0.018,0.009
COMP100-007-species_safe,pass,0.009,0.018,0.009
COMP100-008-species_safe,pass,0.009,0.018,0.009
COMP100-009-species_safe,pass,0.009,0.018,0.009
COMP100-010-species_safe,pass,0.009,0.018,0.009
COMP100-011-species_safe,pass,0.009,0.018,0.009
COMP100-012-species_safe,pass,0.009,0.018,0.009
COMP100-013-species_safe,pass,0.009,0.018,0.009
COMP100-014-species_safe,pass,0.009,0.018,0.009
COMP100-015-species_safe,pass,0.009,0.018,0.009
COMP100-016-species_safe,pass,0.009,0.018,0.009
COMP100-017-species_safe,pass,0.009,0.018,0.009
COMP100-018-species_safe,pass,0.009,0.018,0.009
COMP100-019-species_safe,pass,0.009,0.018,0.009
COMP100-020-species_safe,pass,0.009,0.018,0.009
COMP100-021-species_safe,pass,0.009,0.018,0.009
COMP100-022-species_safe,pass,0.009,0.018,0.009
COMP100-023-species_safe,pass,0.009,0.018,0.009
COMP100-024-species_safe,pass,0.009,0.018,0.009
COMP100-025-species_safe,pass,0.009,0.018,0.009
COMP100-026-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-027-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-028-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-029-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-030-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-031-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-032-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-033-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-034-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-035-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-036-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-037-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-038-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-039-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-040-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-041-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-042-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-043-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-044-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-045-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-046-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-047-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-048-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-049-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-050-genus_safe_ambiguous,pass,0.009,0.018,0.009
COMP100-051-weak_coverage,pass,0.009,0.018,0.009
COMP100-052-weak_coverage,pass,0.009,0.018,0.009
COMP100-053-weak_coverage,pass,0.009,0.018,0.009
COMP100-054-weak_coverage,pass,0.009,0.018,0.009
COMP100-055-weak_coverage,pass,0.009,0.018,0.009
COMP100-056-weak_coverage,pass,0.009,0.018,0.009
COMP100-057-weak_coverage,pass,0.009,0.018,0.009
COMP100-058-weak_coverage,pass,0.009,0.018,0.009
