row_index,gbifID,datasetKey,datasetTitle,publisher,license,scientificName,acceptedTaxonKey,taxonKey,decimalLatitude,decimalLongitude,eventDate,year,coordinateUncertaintyInMeters,country,countryCode,basisOfRecord,issues,context_only,claim_state,provenance_hash
1,1001,spain-mosquito-watch,Spain Mosquito Watch Demo,Demo Public Health Node,CC_BY_4_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,41.3874,2.1686,2025-08-14,2025,120.0,Spain,ES,HUMAN_OBSERVATION,,True,occurrence_context,9eb5369ee59cdbabb503252b791c1eb5a8c3c7d1df5b548a0eee3e21831864a3
2,1002,spain-mosquito-watch,Spain Mosquito Watch Demo,Demo Public Health Node,CC_BY_4_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,41.45,2.22,2024-09-02,2024,80.0,Spain,ES,HUMAN_OBSERVATION,,True,occurrence_context,87463bb26116fa0db9d1296677f25211491ada7d97a835bab0f856c485b7f12f
3,1003,spain-mosquito-watch,Spain Mosquito Watch Demo,Demo Public Health Node,CC_BY_4_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,39.4699,-0.3763,2023-07-18,2023,300.0,Spain,ES,MATERIAL_SAMPLE,,True,occurrence_context,ed06476c0bfd39183467c9cbd7a1fa8296daedbf4314b83b6badd67d729cf722
4,1004,spain-mosquito-watch,Spain Mosquito Watch Demo,Demo Public Health Node,CC_BY_4_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,38.3452,-0.481,2022-08-01,2022,24000.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED,True,occurrence_context,c94bc028fefcc1eac65926fb87f0b8ba63facb4bddef895d397f8be65c00ade8
5,1005,iberian-vector-survey,Iberian Vector Survey Demo,Demo University Collection,CC0_1_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,40.4168,-3.7038,2021-07-11,2021,500.0,Spain,ES,PRESERVED_SPECIMEN,,True,occurrence_context,62ebc569733a718a0678f67c54070c3bfaaa14ca3500f365bc71be19d72f9a19
6,1006,iberian-vector-survey,Iberian Vector Survey Demo,Demo University Collection,CC0_1_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,37.3891,-5.9845,2018-06-20,2018,1500.0,Spain,ES,MATERIAL_SAMPLE,,True,occurrence_context,cdaad89c94f2a3374358f25ad59b0b598122fe6880013c5cc42d8def873af79f
7,1007,iberian-vector-survey,Iberian Vector Survey Demo,Demo University Collection,CC0_1_0,"Aedes albopictus (Skuse, 1894)",1651430,1651430,43.263,-2.935,2016-09-09,2016,600.0,Spain,ES,HUMAN_OBSERVATION,,True,occurrence_context,cd3d276021cac0d58f7576977d30dfd3598e6dd696c3d376608fb9b03bcc4a06
8,1008,legacy-mosquito-import,Legacy Mosquito Import Demo,Demo Legacy Publisher,CC_BY_NC_4_0,Aedes albopictus,1651430,1651430,36.7213,-4.4214,,,11000.0,Spain,ES,OCCURRENCE,GEODETIC_DATUM_ASSUMED_WGS84,True,occurrence_context,ada5083de32c0278d646106681352a3bebc967866f2c34a16824943f882096c1
9,1009,legacy-mosquito-import,Legacy Mosquito Import Demo,Demo Legacy Publisher,CC_BY_NC_4_0,Aedes albopictus,1651430,1651430,42.8782,-8.5448,2015-07-05,2015,14000.0,Spain,ES,OCCURRENCE,COUNTRY_COORDINATE_MISMATCH,True,occurrence_context,0212c685df2741ced74a0333d28d0f3de42ad0b6558f3de286c19ebfd9a639ce
10,1010,legacy-mosquito-import,Legacy Mosquito Import Demo,Demo Legacy Publisher,CC_BY_NC_4_0,Aedes albopictus,1651430,1651430,41.65,-0.8891,2014-05-19,2014,900.0,Spain,ES,OCCURRENCE,,True,occurrence_context,aef1e46ce4c747b15339517cb8909e98aed41f462ffadcd8990353311c83a4aa
11,1011,legacy-mosquito-import,Legacy Mosquito Import Demo,Demo Legacy Publisher,CC_BY_NC_4_0,Aedes albopictus,1651430,1651430,39.57,2.65,2013-08-23,2013,700.0,Spain,ES,OCCURRENCE,,True,occurrence_context,88b985824cea7bd6f7be67a73741c64e1fea77960668d9450381e205ea35d9be
12,1012,unknown_dataset,Unresolved Demo Upload,Unknown Demo Publisher,,Aedes albopictus,,,40.0,-1.0,,,20000.0,Spain,ES,OCCURRENCE,TAXON_MATCH_HIGHERRANK,True,occurrence_context,16d2199cc4bc8037c0f473582b48c60518d78243922b0afbd1661f02d0738b11
