sequenceID,taxon,rank,gbifTaxonKey,identity,queryCoverage,referenceDatabase,referenceID
ADV100-001-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-001-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-002-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-002-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-003-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-003-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-004-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-004-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-005-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-005-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-006-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-006-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-007-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-007-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-008-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-008-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-009-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-009-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-010-true_species_safe_positive,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-010-true_species_safe_positive,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-011-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-011-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-012-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-012-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-013-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-013-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-014-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-014-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-015-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-015-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-016-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-016-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-017-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-017-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-018-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-018-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-019-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-019-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-020-close_sibling_ambiguity,Aedes albopictus,species,1651430,99.4,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-020-close_sibling_ambiguity,Aedes aegypti,species,1651431,99.3,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-021-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-022-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-023-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-024-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-025-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-026-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-027-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-028-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-029-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-030-weak_coverage_short_fragment,Aedes albopictus,species,1651430,99.5,72.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-041-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-042-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-043-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-044-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-045-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-046-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-047-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-048-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-049-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-050-metadata_blocked_taxonomy_safe,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-051-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-051-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-052-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-052-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-053-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-053-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-054-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-054-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-055-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-055-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-056-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-056-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-057-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-057-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-058-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-058-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-059-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-059-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-060-assay_control_failure,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-060-assay_control_failure,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-061-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-061-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-062-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-062-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-063-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-063-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-064-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-064-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-065-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-065-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-066-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-066-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-067-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-067-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-068-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-068-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-069-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-069-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-070-wrong_taxonomy_name_conflict,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-070-wrong_taxonomy_name_conflict,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-071-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-071-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-072-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
ADV100-072-genome_segment_non_barcode_marker,Aedes aegypti,species,1651431,98.2,95.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_aegypti
ADV100-073-genome_segment_non_barcode_marker,Aedes albopictus,species,1651430,99.6,96.0,COI Animals / BOLD public clustered reference,BOLD:Aedes_albopictus
