sequenceID,adversarialClass,expectedDecisionClass,actualDecisionClass,taxonomicStatus,publicationBucket,exportState,markerProfile,candidateTaxon,publishedTaxon,blockers,pass
ADV100-001-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-002-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-003-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-004-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-005-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-006-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-007-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-008-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-009-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-010-true_species_safe_positive,true_species_safe_positive,species-safe,species-safe,species-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes albopictus,Aedes albopictus,,True
ADV100-011-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
ADV100-012-close_sibling_ambiguity,close_sibling_ambiguity,genus-safe,genus-safe,genus-safe,publishable_candidate,dwc_template_ready,coi_full_barcode,Aedes,Aedes,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,True
