scenario_id,label,taxon,taxon_key,region_name,purpose,eligible,run_id,used_source_mode,gbif_api_status,fallback_used,gbif_result_count,gbif_returned_records,records_used,deduped_records_added,datasets_used,readiness_score,valid_coordinate_rate,date_present_rate,recent_record_rate,high_uncertainty_count,missing_date_count,empty_cell_count,survey_priority_cells,citation_status,error
aedes-spain,Aedes albopictus · Spain,Aedes albopictus,1651430,Spain live GBIF bbox,invasive_watch,True,3b18d28ee88748e89e01542881ddd889,online,ok,False,19713,120,120,120,4,94.69,1.0,1.0,1.0,6,0,2,4,online_api_without_download_doi,
aedes-italy,Aedes albopictus · Italy,Aedes albopictus,1651430,Italy live GBIF bbox,invasive_watch,True,524c53e7e9b84301849b29c1143ca5d8,online,ok,False,19378,120,120,120,3,89.17,1.0,1.0,1.0,2,0,9,13,online_api_without_download_doi,
aedes-france,Aedes albopictus · France,Aedes albopictus,1651430,France live GBIF bbox,invasive_watch,True,3d0a8566bfbe43b1ac261d7bf207eb0a,online,ok,False,13689,120,120,77,5,94.91,1.0,1.0,1.0,3,0,2,5,online_api_without_download_doi,
quercus-western-europe,Quercus robur · Western Europe,Quercus robur,2878688,Western Europe live bbox,sampling_gaps,True,79379cb8bf1a4f209f18d415ca3a811e,online,ok,False,964852,120,120,120,7,82.56,1.0,1.0,1.0,0,0,4,7,online_api_without_download_doi,
quercus-germany,Quercus robur · Germany,Quercus robur,2878688,Germany live GBIF bbox,sampling_gaps,True,3064b83debe549c093f2c04037469f26,online,ok,False,430047,120,120,75,6,83.12,1.0,1.0,1.0,0,0,4,5,online_api_without_download_doi,
lynx-iberia,Lynx pardinus · Iberian Peninsula,Lynx pardinus,2435261,Iberian Peninsula live bbox,dataset_quality_review,True,07c67e85a1444715a270c67876f6e6ce,online,ok,False,1812,120,120,120,4,85.8,1.0,1.0,1.0,97,0,10,14,online_api_without_download_doi,
apis-western-europe,Apis mellifera · Western Europe,Apis mellifera,1341976,Western Europe live bbox,dataset_quality_review,True,af601b1e551d4f7b98060b1ca5d1ab0d,online,ok,False,426410,120,120,120,4,95.08,1.0,1.0,1.0,4,0,3,8,online_api_without_download_doi,
apis-france,Apis mellifera · France,Apis mellifera,1341976,France live GBIF bbox,sampling_gaps,True,256f6a86d1684ed884eebb8faf46bd52,online,ok,False,143322,120,120,59,4,84.64,1.0,1.0,1.0,3,0,3,4,online_api_without_download_doi,
passer-western-europe,Passer domesticus · Western Europe,Passer domesticus,5231190,Western Europe live bbox,sampling_gaps,True,31c4eb5d38cf41bfab94306884254f09,online,ok,False,3808458,120,120,120,2,66.25,1.0,1.0,1.0,0,0,11,12,online_api_without_download_doi,
passer-united-states,Passer domesticus · United States,Passer domesticus,5231190,United States live GBIF bbox,dataset_quality_review,True,80993cc658df4ee2a746db935e553f1f,online,ok,False,14835303,120,120,120,1,95.78,1.0,1.0,1.0,15,0,2,5,online_api_without_download_doi,
