sequenceID,taxonomicStatus,decisionClass,candidateTaxon,candidateRank,publishedTaxon,publishedRank,indistinguishableHits,blockers
COMP100-026-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-027-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-028-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-029-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-030-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-031-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-032-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-033-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-034-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-035-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-036-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-037-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-038-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-039-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-040-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-041-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-042-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-043-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-044-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-045-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-046-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-047-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-048-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-049-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-050-genus_safe_ambiguous,genus-safe,genus-safe,Aedes,genus,Aedes,genus,Aedes albopictus; Aedes aegypti,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
