sequenceID,naiveClaim,naiveRank,compilerDecision,safeTaxon,safeRank,publishedTaxon,publishedRank,reason
ADV100-011-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-012-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-013-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-014-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-015-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-016-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-017-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-018-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-019-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-020-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
ADV100-021-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-022-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-023-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-024-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-025-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-026-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-027-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-028-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-029-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-030-weak_coverage_short_fragment,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-041-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
