scenario_id,run_id,gbif_id,datasetKey,datasetTitle,publisher,license,datasetDOI,datasetCitation,datasetHomepage,publishingOrganizationKey,dataset_metadata_source,dataset_metadata_enriched_at,scientificName,acceptedTaxonKey,taxonKey,decimalLatitude,decimalLongitude,eventDate,year,coordinateUncertaintyInMeters,country,countryCode,basisOfRecord,issues
aedes-spain,6f72bace0aa44449822618781482bb21,6185581176,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,41.502772,2.104288,2026-03-26T14:34:16,2026,,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6193286427,8a863029-f435-446a-821e-275f4f641165,"Observation.org, Nature data from around the World",Observation.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/5nilie,"Observation.org (2026). Observation.org, Nature data from around the World. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2026-05-26.",,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,42.110159,3.162865,2026-04-10,2026,,Spain,ES,HUMAN_OBSERVATION,
aedes-spain,6f72bace0aa44449822618781482bb21,6235257244,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,41.414947,2.170443,2026-04-20T14:40:11,2026,17.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6235501359,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,41.41447,2.170498,2026-04-20T14:39:50,2026,10.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6236277830,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,43.99963,4.372862,2026-04-21T12:45,2026,,France,FR,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6236539634,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,42.264206,2.96822,2026-04-16T10:04:11,2026,57.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6251939228,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,42.520833,2.933333,2026-04-23T23:02,2026,,France,FR,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6252562173,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,36.72563,-3.727089,2026-04-30T19:58:25,2026,9.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6252732278,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,36.701685,-3.963605,2026-04-20T16:19:55,2026,28505.0,Spain,ES,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
aedes-spain,6f72bace0aa44449822618781482bb21,6320515685,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,iNaturalist.org,http://creativecommons.org/licenses/by-nc/4.0/legalcode,10.15468/ab3s5x,"iNaturalist contributors, iNaturalist (2026). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2026-05-26.",https://www.inaturalist.org/observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gbif_api,2026-05-26T23:01:49.051498+00:00,"Aedes albopictus (Skuse, 1894)",1651430,1651430,43.641487,3.84413,2026-05-18T17:57:31,2026,10.0,France,FR,HUMAN_OBSERVATION,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
