sequenceID,decisionClass,candidateTaxon,candidateRank,publicationStage,reviewReason
ADV100-021-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-022-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-023-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-024-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-025-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-026-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-027-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-028-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-029-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-030-weak_coverage_short_fragment,weak,Aedes albopictus,species,record_recommended_ready,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
ADV100-031-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-032-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-033-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-034-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-035-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-036-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-037-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-038-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-039-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-040-no_match_novel_lineage,no-match,No match,none,record_recommended_ready,no reference hit returned
ADV100-041-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-042-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-043-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-044-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-045-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-046-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-047-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-048-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-049-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-050-metadata_blocked_taxonomy_safe,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
ADV100-051-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-052-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-053-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-054-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-055-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-056-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-057-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-058-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-059-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-060-assay_control_failure,not-publishable,Aedes albopictus,species,record_not_ready,"assay gate blocked publication: missing occurrenceStatus, contaminationAssessment for qpcr_ddpcr"
ADV100-061-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-062-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-063-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-064-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-065-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
