sequenceID,corePass,requiredMissing,recommendedMissing,publicationBucket,exportState,formalGbifReadyAllowed
ADV100-001-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-002-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-003-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-004-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-005-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-006-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-007-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-008-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-009-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-010-true_species_safe_positive,True,,,publishable_candidate,dwc_template_ready,False
ADV100-011-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-012-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-013-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-014-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-015-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-016-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-017-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-018-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-019-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-020-close_sibling_ambiguity,True,,,publishable_candidate,dwc_template_ready,False
ADV100-021-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-022-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-023-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-024-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-025-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-026-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-027-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-028-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-029-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-030-weak_coverage_short_fragment,True,,,repair_required,review_only,False
ADV100-031-no_match_novel_lineage,True,,,repair_required,review_only,False
