segmentID,sequenceID,segmentStart,segmentEnd,segmentLength,canonicalPolicy,segmentHash,sequenceMD5,rulesetVersion,coordinateStatus,provenanceHash
segment:COMP100-001-species_safe:1-622,COMP100-001-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,56a764f08aaf645d28eb23ff8f6c7b0f297f7fc82af3ad8b1c48aba979ec80c4
segment:COMP100-002-species_safe:1-622,COMP100-002-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,44ae5643867bdba3f9a209863e07c2073478d659c839d2a0beeed488a60dfa78
segment:COMP100-003-species_safe:1-622,COMP100-003-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,a2ece23acab15f3e1b9cf1972560cb340d2caaa70cf02d17486c5421b80968c1
segment:COMP100-004-species_safe:1-622,COMP100-004-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,94a57316870411a755d7d0432fe51c63f399267037b29e7a966fccd3a37429a6
segment:COMP100-005-species_safe:1-622,COMP100-005-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,0cf7818cc89af3ff421887193d4c24424945e5ab92d1821a4d01b3aea1843878
segment:COMP100-006-species_safe:1-622,COMP100-006-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,233b586dfa99335b7c14d375e7d29753534f666892329c068f6823fdb885d465
segment:COMP100-007-species_safe:1-622,COMP100-007-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,2d546077d3e1c03ce1c55aeaf56b076c94fcc98db434c60dea5e026e20d136de
segment:COMP100-008-species_safe:1-622,COMP100-008-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,ccad7970ba4cb378369209855dca7add410db0f35e2e926646b304856ad08415
segment:COMP100-009-species_safe:1-622,COMP100-009-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,4bb56ec60b5383ea5ec7a0091f9495ebb33f8a70feccbbb7c4b2eab0d732ab75
segment:COMP100-010-species_safe:1-622,COMP100-010-species_safe,1,622,622,canonical_min,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,5695d927022faccbcccb799d5f7b228b,barcode-gbif-compiler-v2,pass,37fd7d60f88691486b30c20a559e10eee7f0b6b6d4d5d4db6cef34ddf499ecbd
