vseaID,runID,sequenceID,segmentID,segmentHash,relationType,targetID,targetLabel,safeRank,decisionClass,publicationBucket,exportState,claimState,evidenceType,sourceID,claimBoundary,caveats,blockers,rulesetVersion,provenanceHash
vsea:ADV100-001-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-001-true_species_safe_positive,segment:ADV100-001-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,53748c21a4efc4ffcc4e0d6f44264fab8dbac297db3b6a98543fd9d79463b969
vsea:ADV100-002-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-002-true_species_safe_positive,segment:ADV100-002-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,20fa507fdd23f4ac3b29bdb073175a621a0b3573a3885fd17ef307d1f34367c1
vsea:ADV100-003-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-003-true_species_safe_positive,segment:ADV100-003-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,5f257b08b96331d71a92b4d00512a1043bab6bb6e8e6792a704181c1b1794f0e
vsea:ADV100-004-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-004-true_species_safe_positive,segment:ADV100-004-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,cff6890695a1c050d222b89fa1401fdae6a69e877bc58d32b61aefa46fd79b0f
vsea:ADV100-005-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-005-true_species_safe_positive,segment:ADV100-005-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,0699c414d7e945bde162ba4d7a1c4550dbb1e3e0c2ca22a3376609c9c0667b0d
vsea:ADV100-006-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-006-true_species_safe_positive,segment:ADV100-006-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,1dbb1dd33bb13e57a93f79167e53297c45a1a0bb48d728a495cca4e2e7939868
vsea:ADV100-007-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-007-true_species_safe_positive,segment:ADV100-007-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,ec56ef882bcd2b23ea0737f6d1e0b3630ad33a891efb3315fe1f1e90374f1228
vsea:ADV100-008-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-008-true_species_safe_positive,segment:ADV100-008-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,ce923f26063480439ff152d927ba5963adc5325e49c60ffeda0cf88e25dbf361
vsea:ADV100-009-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-009-true_species_safe_positive,segment:ADV100-009-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,6ea4e48a9f88fd31a15492a4ea0891fd53c4bebfc2bb60c0e4793c416c4b6bfd
vsea:ADV100-010-true_species_safe_positive:taxon,f02adbce819e40cc8fd7884db97fdb8a,ADV100-010-true_species_safe_positive,segment:ADV100-010-true_species_safe_positive:1-622,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,SUPPORTS_TAXON,taxon:species:Aedes albopictus,Aedes albopictus,species,species-safe,publishable_candidate,dwc_template_ready,taxon_supported,molecular_barcode_hard_gates,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,"absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review",,barcode-gbif-compiler-v2,f53821f0f44a431f2f9d38e3063b02a6c86b48ed425940c338a70390d98b7a81
