objectType,objectID,graphType,provenanceHashPresent,rulesetVersionPresent,missingFields,status
node,run:cc3a9564cc8e433b8a22ba1d1fb63d77,run,True,True,,pass
node,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,reference_manifest,True,True,,pass
node,sequence:COMP100-001-species_safe,sequence,True,True,,pass
node,assignment:COMP100-001-species_safe,assignment,True,True,,pass
node,taxon:species:Aedes albopictus,taxon,True,True,,pass
node,claim_boundary:COMP100-001-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-001-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-001-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-002-species_safe,sequence,True,True,,pass
node,assignment:COMP100-002-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-002-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-002-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-002-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-003-species_safe,sequence,True,True,,pass
node,assignment:COMP100-003-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-003-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-003-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-003-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-004-species_safe,sequence,True,True,,pass
node,assignment:COMP100-004-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-004-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-004-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-004-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-005-species_safe,sequence,True,True,,pass
node,assignment:COMP100-005-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-005-species_safe,claim_boundary,True,True,,pass
node,hit:COMP100-005-species_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:COMP100-005-species_safe:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:COMP100-006-species_safe,sequence,True,True,,pass
node,assignment:COMP100-006-species_safe,assignment,True,True,,pass
node,claim_boundary:COMP100-006-species_safe,claim_boundary,True,True,,pass
