repairAction,unlockableRecords,estimatedGain,estimatedCost,exampleRecords
"Add assay evidence fields: controls, primers, replicate/QC or qPCR/ddPCR quantification metadata as applicable.",100,1.0,medium,ADV100-001-true_species_safe_positive; ADV100-002-true_species_safe_positive; ADV100-003-true_species_safe_positive; ADV100-004-true_species_safe_positive; ADV100-005-true_species_safe_positive; ADV100-006-true_species_safe_positive; ADV100-007-true_species_safe_positive; ADV100-008-true_species_safe_positive
Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,90,0.9,high,ADV100-001-true_species_safe_positive; ADV100-002-true_species_safe_positive; ADV100-003-true_species_safe_positive; ADV100-004-true_species_safe_positive; ADV100-005-true_species_safe_positive; ADV100-006-true_species_safe_positive; ADV100-007-true_species_safe_positive; ADV100-008-true_species_safe_positive
"Add high-priority DNA-derived extension fields: pcr_primer_forward, pcr_primer_reverse, seq_meth.",80,0.8,medium,ADV100-001-true_species_safe_positive; ADV100-002-true_species_safe_positive; ADV100-003-true_species_safe_positive; ADV100-004-true_species_safe_positive; ADV100-005-true_species_safe_positive; ADV100-006-true_species_safe_positive; ADV100-007-true_species_safe_positive; ADV100-008-true_species_safe_positive
Publish the molecular assignment at genus rank unless additional evidence resolves the ambiguity.,10,0.1,medium,ADV100-011-close_sibling_ambiguity; ADV100-012-close_sibling_ambiguity; ADV100-013-close_sibling_ambiguity; ADV100-014-close_sibling_ambiguity; ADV100-015-close_sibling_ambiguity; ADV100-016-close_sibling_ambiguity; ADV100-017-close_sibling_ambiguity; ADV100-018-close_sibling_ambiguity
Use a longer/cleaner marker sequence or treat the assignment below species rank.,10,0.1,high,ADV100-021-weak_coverage_short_fragment; ADV100-022-weak_coverage_short_fragment; ADV100-023-weak_coverage_short_fragment; ADV100-024-weak_coverage_short_fragment; ADV100-025-weak_coverage_short_fragment; ADV100-026-weak_coverage_short_fragment; ADV100-027-weak_coverage_short_fragment; ADV100-028-weak_coverage_short_fragment
Run the sequence against a marker-appropriate reference database and attach hit metrics.,10,0.1,medium,ADV100-031-no_match_novel_lineage; ADV100-032-no_match_novel_lineage; ADV100-033-no_match_novel_lineage; ADV100-034-no_match_novel_lineage; ADV100-035-no_match_novel_lineage; ADV100-036-no_match_novel_lineage; ADV100-037-no_match_novel_lineage; ADV100-038-no_match_novel_lineage
"Add high-priority DNA-derived extension fields: pcr_primer_forward, pcr_primer_reverse, seq_meth, otu_seq_comp_appr.",10,0.1,medium,ADV100-031-no_match_novel_lineage; ADV100-032-no_match_novel_lineage; ADV100-033-no_match_novel_lineage; ADV100-034-no_match_novel_lineage; ADV100-035-no_match_novel_lineage; ADV100-036-no_match_novel_lineage; ADV100-037-no_match_novel_lineage; ADV100-038-no_match_novel_lineage
Complete required Darwin Core Occurrence core fields before GBIF publication.,10,0.1,low,ADV100-041-metadata_blocked_taxonomy_safe; ADV100-042-metadata_blocked_taxonomy_safe; ADV100-043-metadata_blocked_taxonomy_safe; ADV100-044-metadata_blocked_taxonomy_safe; ADV100-045-metadata_blocked_taxonomy_safe; ADV100-046-metadata_blocked_taxonomy_safe; ADV100-047-metadata_blocked_taxonomy_safe; ADV100-048-metadata_blocked_taxonomy_safe
"Add high-priority DNA-derived extension fields: eventID, materialSampleID, pcr_primer_forward, pcr_primer_reverse, seq_meth.",10,0.1,medium,ADV100-041-metadata_blocked_taxonomy_safe; ADV100-042-metadata_blocked_taxonomy_safe; ADV100-043-metadata_blocked_taxonomy_safe; ADV100-044-metadata_blocked_taxonomy_safe; ADV100-045-metadata_blocked_taxonomy_safe; ADV100-046-metadata_blocked_taxonomy_safe; ADV100-047-metadata_blocked_taxonomy_safe; ADV100-048-metadata_blocked_taxonomy_safe
"Use a marker-specific validation profile, longer target region or safe-rank downgrade before species export.",10,0.1,high,ADV100-071-genome_segment_non_barcode_marker; ADV100-072-genome_segment_non_barcode_marker; ADV100-073-genome_segment_non_barcode_marker; ADV100-074-genome_segment_non_barcode_marker; ADV100-075-genome_segment_non_barcode_marker; ADV100-076-genome_segment_non_barcode_marker; ADV100-077-genome_segment_non_barcode_marker; ADV100-078-genome_segment_non_barcode_marker
Attach reference-set intra/inter distances or use a marker/reference set with positive species separation.,10,0.1,medium,ADV100-081-negative_barcode_gap; ADV100-082-negative_barcode_gap; ADV100-083-negative_barcode_gap; ADV100-084-negative_barcode_gap; ADV100-085-negative_barcode_gap; ADV100-086-negative_barcode_gap; ADV100-087-negative_barcode_gap; ADV100-088-negative_barcode_gap
Attach diagnostic k-mers or keep the assignment below species rank.,10,0.1,medium,ADV100-091-missing_diagnostic_kmer; ADV100-092-missing_diagnostic_kmer; ADV100-093-missing_diagnostic_kmer; ADV100-094-missing_diagnostic_kmer; ADV100-095-missing_diagnostic_kmer; ADV100-096-missing_diagnostic_kmer; ADV100-097-missing_diagnostic_kmer; ADV100-098-missing_diagnostic_kmer
