sequenceID,segmentStart,segmentEnd,segmentLength,referenceID,taxon,rank,identityPercent,queryCoveragePercent,alignedLength,safeTaxon,safeRank,claimBoundary
ADV100-001-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-001-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-002-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-002-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-003-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-003-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-004-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-004-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-005-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-005-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-006-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-006-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-007-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-007-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-008-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-008-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-009-true_species_safe_positive,1,622,622,BOLD:Aedes_albopictus,Aedes albopictus,species,99.6,96.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
ADV100-009-true_species_safe_positive,1,622,622,BOLD:Aedes_aegypti,Aedes aegypti,species,98.2,95.0,658,Aedes albopictus,species,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.
