row,table,c1,c2,c3,c4,c5
1,1,"Версия документа: 1.0 RU (14 июня 2026)
Статус: проектная спецификация + научно-методическая дорожная карта
Цель: превратить ДНК-фрагменты, баркоды, eDNA и метагеномные участки в проверяемые, воспроизводимые и безопасные таксономические доказательства
Ключевой принцип: система не угадывает вид; она сообщает самый узкий таксон, который честно поддержан данными и не опровергнут рисками",,,,
1,2,"Короткий вердикт
Проект жизнеспособен и имеет реальную научную ценность, но не как “определитель вида по одной строке ДНК”. Его сильная позиция - стать системой преобразования молекулярных сигналов в аудируемые доказательства: какой таксон можно безопасно заявить, какие утверждения заблокированы, чего не хватает для публикации и какие действия разблокируют максимум записей. Главный риск - перепутать высокий top-hit с научной истиной. Если это не устранить методически, приложение будет выглядеть сильнее, чем оно доказано. Если устранить - проект становится серьезной платформой для GBIF-ready публикаций, контроля переобъявлений и будущего графа фрагментов генома.",,,,
1,3,Что уже сильно,Что опасно,Как исправить,,
2,3,Fail-closed логика: небезопасные species claims не проходят,"Порог 99% identity и 80% coverage может выглядеть универсальным, хотя он зависит от маркера и клады",Перевести пороги в marker/taxon profiles и калибровать на holdout-наборах,,
3,3,Разделение таксономического статуса и публикационного статуса,"GBIF-ready, publishable_candidate и repair_required могут смешиваться в интерфейсе",Сделать конечный автомат состояний и отдельные счетчики для каждого слоя,,
4,3,"Evidence Pack, CSV/JSON/HTML артефакты, ремонтный план",Текстовые claim-ы могут выглядеть шаблонными и не доказывать конкретную запись,"Генерировать утверждения только из evidence graph: hit, LCA, gap, k-mers, metadata, blockers",,
5,3,"Идея fragment sharedness: общий фрагмент не выбрасывается, а понижается до безопасного ранга","LCA может скрывать HGT, интрогрессию, NUMTs, неполную библиотеку и cryptic species","Добавить explicit caveats, reference completeness, conflict graph и экспертный review gate",,
1,4,Класс решения,Простое объяснение,Что делать пользователю,,
2,4,species-safe,ДНК и все проверки достаточно уверенно поддерживают именно вид.,"Можно готовить публикацию на уровне вида, если метаданные GBIF полные.",,
3,4,genus-safe / higher-rank-safe,"Фрагмент похож на несколько близких видов, но все они входят в один род/семейство.",Публиковать на безопасном ранге или добавить более длинный/другой маркер.,,
4,4,weak,"Совпадение слабое: мало покрытия, короткий фрагмент, низкая уверенность или плохой маркер.",Не публиковать как вид; улучшить последовательность или оставить в review.,,
5,4,no-match,Нет надежного совпадения с референсной базой.,"Проверить качество, базу, маркер; возможно, это неизвестный/непредставленный таксон.",,
6,4,repairable,"Биологический сигнал может быть полезен, но не хватает полей для публикации.","Добавить occurrenceID, eventDate, координаты, метод, праймеры, DOI/датасетные ссылки.",,
7,4,not-publishable,Не выполнены обязательные научные или публикационные условия.,Не экспортировать в GBIF-ready слой до устранения блокеров.,,
1,5,"Что приложение должно обещать пользователю
1) “Я покажу, насколько безопасно утверждать таксон по молекулярному фрагменту.”
2) “Я не спрячу сомнения: конкуренты, пробелы в референсах и отсутствующие метаданные будут видны.”
3) “Я выдам файлы, которые можно проверить, исправить и процитировать.”
4) “Я не доказываю отсутствие организма, численность популяции, фенотип, распространение в природе или эволюционную роль по одному фрагменту.”",,,,
1,6,Научная боль,Почему это важно,Как отвечает проект,,
2,6,Top-hit overclaim,"Высокий процент identity не равен виду, если близкие виды не разделяются.","LCA downgrade, barcode-gap gate, diagnostic k-mers, explicit blockers.",,
3,6,Неполные референсные библиотеки,Отсутствие конкурента в базе не значит отсутствие конкурента в природе.,Reference Completeness Index и caveat “reference-limited”.,,
4,6,Плохая воспроизводимость,"Через год база и taxonomy изменятся, а старый вывод невозможно проверить.","Evidence Pack: hits, parameters, reference manifest, source provenance.",,
5,6,Слабая публикационная дисциплина,"GBIF/DwC требует структуру, идентификаторы, дату, место, метод и цитирование.",Occurrence core + DNA-derived extension + publication blockers.,,
6,6,Потеря неоднозначных фрагментов,Ambiguous фрагменты тоже несут знание на уровне рода/семейства/клады.,Fragment sharedness превращает неоднозначность в безопасный LCA-уровень.,,
7,6,Будущая интерпретация геномных участков,"Фрагменты будут появляться из shotgun, MAG, pangenome, long-read и mixed samples.",Graph model: fragment -> segment -> marker/gene -> taxon -> sample -> claim -> publication state.,,
1,7,"Формулировка большой научной цели
Создать открываемый, воспроизводимый и расширяемый граф молекулярных доказательств, который для каждого ДНК-участка показывает: где он найден, к каким таксонам он привязан, на каком ранге это безопасно утверждать, какая неопределенность остается, какие источники и методы поддерживают вывод, и какие действия нужны для публикации или научной проверки.",,,,
1,8,"Рекомендуемая научная формулировка
При заданном маркере, заданной референсной библиотеке, явной таксономической версии, известном методе сопоставления и проверенных QC-метаданных ДНК-фрагмент может поддерживать самый узкий таксономический ранг, для которого: (a) все статистически неотличимые совпадения входят в этот таксон; (b) маркер имеет эмпирическую разделяющую способность в данной кладе; (c) риск неполноты референсов явно измерен; (d) публикационные поля не противоречат выводу; (e) система сохраняет все caveats и не превращает отсутствие данных в доказательство отсутствия вида.",,,,
1,9,Edge case,Почему ломает простую логику,Защитный механизм,,
2,9,Cryptic species,Разные виды могут иметь почти одинаковый barcode.,"LCA downgrade, expert review, multi-marker consensus.",,
3,9,Incomplete reference library,"Близкого вида нет в базе, поэтому top-hit выглядит уникальным.","RCI, leave-one-out validation, “reference-limited” caveat.",,
4,9,Introgression / hybridization,Митохондриальный marker может перейти между видами.,"Marker-specific caveat, nuclear markers, conflict graph.",,
5,9,Horizontal gene transfer,Особенно важно для микробов и мобильных элементов.,Do not force species by single locus; use genome-context and gene-family warnings.,,
6,9,NUMTs / pseudogenes,Митохондриальные фрагменты могут быть ядерными копиями.,"Protein sanity, stop codons, frameshift risk, coverage/profile checks.",,
7,9,Contamination / index hopping,Фрагмент может быть лабораторным шумом.,"Controls, blanks, replicates, assay gate, read-count caveats.",,
8,9,Taxonomic synonymy,Имя в базе и backbone могут расходиться.,"Taxon resolver, acceptedNameUsage, taxonID provenance.",,
1,10,Слой,Обязательные данные,Зачем нужны,,
2,10,Sequence layer,"sequenceID, sequence/ASV/fragment, marker/locus, aligned length, hit table","Чтобы проверить совпадение, покрытие, длину и конкурентов.",,
3,10,Reference layer,"reference database name/version, accession, taxonomy, lineage, source quality",Чтобы вывод был воспроизводимым и ограниченным версией базы.,,
4,10,Sample layer,"eventID, materialSampleID, basisOfRecord, eventDate, coordinates/uncertainty","Чтобы молекулярный сигнал стал occurrence evidence, а не абстрактной последовательностью.",,
5,10,Assay layer,"primers, method, controls, replicates, read counts, contamination flags",Чтобы отличить наличие молекулярного сигнала от шума/контаминации.,,
6,10,Publication layer,"dataset title, publisher, DOI/citation, license, EML/methods","Чтобы экспорт мог быть проверен, процитирован и переиспользован.",,
1,11,Компонент RCI 2.0,Как считать,Зачем,,
2,11,Taxon coverage,"Доля accepted species в кладе, имеющих marker m",Общий риск отсутствующих конкурентов.,,
3,11,Close-relative coverage,Доля ближайших родственных видов с качественными референсами,Самый важный слой для species-safe.,,
4,11,Sequence quality,"Длина, N-content, voucher, accession status, curated flag",Плохие референсы опаснее отсутствующих.,,
5,11,Geographic coverage,Наличие референсов из региона/экозоны образца,Локальные lineage могут быть не представлены.,,
6,11,Per-species depth,Количество независимых референсов на вид,Один референс не описывает внутривидовую вариацию.,,
