sequenceID,acceptedScientificName,taxonRank,decisionClass,profile_id,exportState,basis
COMP100-001-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-002-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-003-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-004-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-005-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-006-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-007-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-008-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-009-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-010-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-011-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-012-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-013-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-014-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-015-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-016-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-017-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-018-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-019-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-020-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-021-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-022-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-023-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-024-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-025-species_safe,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-026-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-027-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-028-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-029-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-030-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-031-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-032-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-033-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-034-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-035-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-036-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-037-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-038-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-039-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-040-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-041-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-042-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-043-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-044-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-045-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-046-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-047-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-048-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-049-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
COMP100-050-genus_safe_ambiguous,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
