segmentID,sequenceID,segmentHash,uncertaintySetTaxa,safeTaxon,safeRank,candidateTaxon,candidateRank,lcaCheck,decisionClass,claimState
segment:COMP100-001-species_safe:1-622,COMP100-001-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-002-species_safe:1-622,COMP100-002-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-003-species_safe:1-622,COMP100-003-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-004-species_safe:1-622,COMP100-004-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-005-species_safe:1-622,COMP100-005-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-006-species_safe:1-622,COMP100-006-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-007-species_safe:1-622,COMP100-007-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-008-species_safe:1-622,COMP100-008-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-009-species_safe:1-622,COMP100-009-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-010-species_safe:1-622,COMP100-010-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-011-species_safe:1-622,COMP100-011-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
