sequenceID,assayType,assayLabel,assayGatePass,publicationBlocking,requiredMissing,recommendedMissing,assayBlockers,claimCaveat
ADV100-001-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-002-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-003-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-004-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-005-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-006-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-007-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-008-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-009-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-010-true_species_safe_positive,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-011-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-012-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-013-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-014-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
ADV100-015-close_sibling_ambiguity,single_specimen_barcode,Single-specimen barcode,True,False,,pcr_primer_forward; pcr_primer_reverse; seq_meth,,"The record is interpreted as sequence-derived occurrence evidence, not direct ecological abundance."
