objectType,objectID,graphType,provenanceHashPresent,rulesetVersionPresent,missingFields,status
node,run:f02adbce819e40cc8fd7884db97fdb8a,run,True,True,,pass
node,reference_manifest:13a1f3c48dd73c86868583ef06b524ff51abc2dc63065ec6e61bb2ab0e99eb7b,reference_manifest,True,True,,pass
node,sequence:ADV100-001-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-001-true_species_safe_positive,assignment,True,True,,pass
node,taxon:species:Aedes albopictus,taxon,True,True,,pass
node,claim_boundary:ADV100-001-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-001-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-001-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-002-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-002-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-002-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-002-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-002-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-003-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-003-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-003-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-003-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-003-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-004-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-004-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-004-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-004-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-004-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-005-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-005-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-005-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-005-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-005-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-006-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-006-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-006-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-006-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-006-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-007-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-007-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-007-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-007-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-007-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-008-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-008-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-008-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-008-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-008-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-009-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-009-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-009-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-009-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-009-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-010-true_species_safe_positive,sequence,True,True,,pass
node,assignment:ADV100-010-true_species_safe_positive,assignment,True,True,,pass
node,claim_boundary:ADV100-010-true_species_safe_positive,claim_boundary,True,True,,pass
node,hit:ADV100-010-true_species_safe_positive:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-010-true_species_safe_positive:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-011-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-011-close_sibling_ambiguity,assignment,True,True,,pass
node,taxon:genus:Aedes,taxon,True,True,,pass
node,claim_boundary:ADV100-011-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,blocker:8c7ec566665a,blocker,True,True,,pass
node,hit:ADV100-011-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-011-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-012-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-012-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-012-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-012-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-012-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-013-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-013-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-013-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-013-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-013-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-014-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-014-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-014-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-014-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-014-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-015-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-015-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-015-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-015-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-015-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-016-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-016-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-016-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-016-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-016-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-017-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-017-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-017-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-017-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-017-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-018-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-018-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-018-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-018-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-018-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-019-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-019-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-019-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-019-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-019-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-020-close_sibling_ambiguity,sequence,True,True,,pass
node,assignment:ADV100-020-close_sibling_ambiguity,assignment,True,True,,pass
node,claim_boundary:ADV100-020-close_sibling_ambiguity,claim_boundary,True,True,,pass
node,hit:ADV100-020-close_sibling_ambiguity:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-020-close_sibling_ambiguity:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-021-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-021-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-021-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,blocker:54c10229b6d4,blocker,True,True,,pass
node,blocker:4b566aab621e,blocker,True,True,,pass
node,hit:ADV100-021-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-022-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-022-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-022-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-022-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-023-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-023-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-023-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-023-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-024-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-024-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-024-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-024-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-025-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-025-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-025-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-025-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-026-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-026-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-026-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-026-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-027-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-027-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-027-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-027-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-028-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-028-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-028-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-028-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-029-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-029-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-029-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-029-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-030-weak_coverage_short_fragment,sequence,True,True,,pass
node,assignment:ADV100-030-weak_coverage_short_fragment,assignment,True,True,,pass
node,claim_boundary:ADV100-030-weak_coverage_short_fragment,claim_boundary,True,True,,pass
node,hit:ADV100-030-weak_coverage_short_fragment:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-031-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-031-no_match_novel_lineage,assignment,True,True,,pass
node,taxon:none:No match,taxon,True,True,,pass
node,claim_boundary:ADV100-031-no_match_novel_lineage,claim_boundary,True,True,,pass
node,blocker:f2bd58b483bd,blocker,True,True,,pass
node,sequence:ADV100-032-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-032-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-032-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-033-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-033-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-033-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-034-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-034-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-034-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-035-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-035-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-035-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-036-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-036-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-036-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-037-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-037-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-037-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-038-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-038-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-038-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-039-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-039-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-039-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-040-no_match_novel_lineage,sequence,True,True,,pass
node,assignment:ADV100-040-no_match_novel_lineage,assignment,True,True,,pass
node,claim_boundary:ADV100-040-no_match_novel_lineage,claim_boundary,True,True,,pass
node,sequence:ADV100-041-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-041-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-041-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,blocker:78cdd7c7e0d6,blocker,True,True,,pass
node,blocker:bafd053aee5e,blocker,True,True,,pass
node,hit:ADV100-041-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-042-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-042-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-042-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-042-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-043-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-043-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-043-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-043-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-044-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-044-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-044-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-044-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-045-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-045-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-045-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-045-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-046-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-046-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-046-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-046-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-047-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-047-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-047-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-047-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-048-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-048-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-048-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-048-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-049-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-049-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-049-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-049-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-050-metadata_blocked_taxonomy_safe,sequence,True,True,,pass
node,assignment:ADV100-050-metadata_blocked_taxonomy_safe,assignment,True,True,,pass
node,claim_boundary:ADV100-050-metadata_blocked_taxonomy_safe,claim_boundary,True,True,,pass
node,hit:ADV100-050-metadata_blocked_taxonomy_safe:BOLD:Aedes_albopictus,hit,True,True,,pass
node,sequence:ADV100-051-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-051-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-051-assay_control_failure,claim_boundary,True,True,,pass
node,blocker:604731622933,blocker,True,True,,pass
node,hit:ADV100-051-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-051-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-052-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-052-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-052-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-052-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-052-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-053-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-053-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-053-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-053-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-053-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-054-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-054-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-054-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-054-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-054-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-055-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-055-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-055-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-055-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-055-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-056-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-056-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-056-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-056-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-056-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-057-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-057-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-057-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-057-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-057-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-058-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-058-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-058-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-058-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-058-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-059-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-059-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-059-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-059-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-059-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-060-assay_control_failure,sequence,True,True,,pass
node,assignment:ADV100-060-assay_control_failure,assignment,True,True,,pass
node,claim_boundary:ADV100-060-assay_control_failure,claim_boundary,True,True,,pass
node,hit:ADV100-060-assay_control_failure:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-060-assay_control_failure:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-061-wrong_taxonomy_name_conflict,sequence,True,True,,pass
node,assignment:ADV100-061-wrong_taxonomy_name_conflict,assignment,True,True,,pass
node,claim_boundary:ADV100-061-wrong_taxonomy_name_conflict,claim_boundary,True,True,,pass
node,blocker:ae6b866524b3,blocker,True,True,,pass
node,hit:ADV100-061-wrong_taxonomy_name_conflict:BOLD:Aedes_albopictus,hit,True,True,,pass
node,hit:ADV100-061-wrong_taxonomy_name_conflict:BOLD:Aedes_aegypti,hit,True,True,,pass
node,sequence:ADV100-062-wrong_taxonomy_name_conflict,sequence,True,True,,pass
node,assignment:ADV100-062-wrong_taxonomy_name_conflict,assignment,True,True,,pass
node,claim_boundary:ADV100-062-wrong_taxonomy_name_conflict,claim_boundary,True,True,,pass
node,hit:ADV100-062-wrong_taxonomy_name_conflict:BOLD:Aedes_albopictus,hit,True,True,,pass
