sequenceID,status,intraMaxDistance,interMinDistance,barcodeGap
ADV100-001-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-002-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-003-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-004-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-005-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-006-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-007-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-008-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-009-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-010-true_species_safe_positive,pass,0.009,0.018,0.009
ADV100-011-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-012-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-013-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-014-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-015-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-016-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-017-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-018-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-019-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-020-close_sibling_ambiguity,pass,0.009,0.018,0.009
ADV100-021-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-022-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-023-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-024-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-025-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-026-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-027-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-028-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-029-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-030-weak_coverage_short_fragment,pass,0.009,0.018,0.009
ADV100-031-no_match_novel_lineage,not_evaluated,,,
ADV100-032-no_match_novel_lineage,not_evaluated,,,
ADV100-033-no_match_novel_lineage,not_evaluated,,,
ADV100-034-no_match_novel_lineage,not_evaluated,,,
ADV100-035-no_match_novel_lineage,not_evaluated,,,
ADV100-036-no_match_novel_lineage,not_evaluated,,,
ADV100-037-no_match_novel_lineage,not_evaluated,,,
ADV100-038-no_match_novel_lineage,not_evaluated,,,
ADV100-039-no_match_novel_lineage,not_evaluated,,,
ADV100-040-no_match_novel_lineage,not_evaluated,,,
ADV100-041-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-042-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-043-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-044-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-045-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-046-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-047-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-048-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-049-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-050-metadata_blocked_taxonomy_safe,pass,0.009,0.018,0.009
ADV100-051-assay_control_failure,pass,0.009,0.018,0.009
ADV100-052-assay_control_failure,pass,0.009,0.018,0.009
ADV100-053-assay_control_failure,pass,0.009,0.018,0.009
ADV100-054-assay_control_failure,pass,0.009,0.018,0.009
ADV100-055-assay_control_failure,pass,0.009,0.018,0.009
ADV100-056-assay_control_failure,pass,0.009,0.018,0.009
ADV100-057-assay_control_failure,pass,0.009,0.018,0.009
ADV100-058-assay_control_failure,pass,0.009,0.018,0.009
ADV100-059-assay_control_failure,pass,0.009,0.018,0.009
