sequenceID,acceptedScientificName,taxonRank,decisionClass,profile_id,exportState,basis
ADV100-001-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-002-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-003-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-004-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-005-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-006-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-007-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-008-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-009-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-010-true_species_safe_positive,Aedes albopictus,species,species-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
ADV100-011-close_sibling_ambiguity,Aedes,genus,genus-safe,coi_full_barcode,dwc_template_ready,"deterministic identity/coverage, ambiguity LCA, barcode gap, diagnostic k-mer and GBIF metadata gates"
