sequenceID,status,rci2Status,referenceContext,closeRelativeCoverage,sequenceQuality,geographicCoverage,perSpeciesDepth,taxonomicStability,candidateSpeciesInHitTable,claimScope
ADV100-001-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-002-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-003-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-004-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-005-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-006-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-007-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-008-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-009-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-010-true_species_safe_positive,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-011-close_sibling_ambiguity,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
ADV100-012-close_sibling_ambiguity,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
