segmentHash,safeTaxon,safeRank,claimState,safeRankPreserved,status
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,weak_hypothesis,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,No match,none,blocked,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes,genus,taxon_supported,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_ambiguous,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_ambiguous,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_ambiguous,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_ambiguous,True,pass
0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,species,taxon_ambiguous,True,pass
