id,requirement,status,evidence,files
DOCX-P0-1,"DataAccountingLedger with explicit denominators for input, candidate, safe, publishable, GBIF-ready and repair states.",implemented_and_verified,backend pack.data_accounting_ledger; data_accounting_ledger.csv; UI Data accounting ledger panel; browser smoke saw input_n/publishable_candidate_n/gbif_ready_n; competition/adversarial ZIPs include ledger.,backend/app/barcode/compiler.py; backend/app/barcode/artifacts.py; frontend/src/App.jsx; reports/competition-100-sequences/data_accounting_ledger.csv; reports/adversarial-100-sequences/data_accounting_ledger.csv
DOCX-P0-2,Separate publishable_candidate from formal GBIF-ready; expose evidence_publishable/dwc_template_ready/formal_gbif_ready state machine.,implemented_and_verified,"export_state added to records; state_machine_audit.csv exported; UI copy now says formal GBIF-ready is separate; competition run: 50 dwc_template_ready, 25 review_only, 25 evidence_publishable_repair_required, 0 formal GBIF-ready.",backend/app/barcode/compiler.py; backend/app/barcode/artifacts.py; frontend/src/App.jsx; reports/competition-100-sequences/state_machine_audit.csv
DOCX-P0-3,Marker-specific thresholds and profile_id for decisions.,implemented_and_verified_with_external_registry_roadmap,MARKER_PROFILES registry in backend; marker_profile_audit.csv; profile_id in safe_taxonomic_assignments.csv; tests cover short 16S safe-rank review. External YAML registry remains a roadmap packaging improvement.,backend/app/barcode/profiles.py; backend/app/barcode/artifacts.py; reports/competition-100-sequences/marker_profile_audit.csv; reports/competition-100-sequences/safe_taxonomic_assignments.csv
DOCX-P0-4,State machine and hard blockers must dominate any readiness score.,implemented_and_verified,"decision_class/publication_bucket/export_state are deterministic; hard_gate_audit has 0 violations in tests, competition and adversarial runs; UI uses buckets and ledger rather than one universal score.",backend/app/barcode/compiler.py; reports/competition-100-sequences/hard_gate_audit.csv; reports/adversarial-100-sequences/hard_gate_audit.csv; frontend/src/App.jsx
DOCX-P0-5,"Claims must be backed by graph/evidence fields, not generic template text.",implemented_and_verified,"claim_boundary now includes top hit, competitor count, LCA safe rank, barcode gap, diagnostic k-mer support, marker profile and gate statuses; claim_boundaries.csv includes rationale; evidence_graph.json includes claim boundary nodes.",backend/app/barcode/compiler.py; backend/app/barcode/artifacts.py; reports/competition-100-sequences/claim_boundaries.csv; reports/competition-100-sequences/evidence_graph.json
DOCX-P0-6,"Blocker taxonomy must separate taxonomic, molecular QC, occurrence core, DNA extension, dataset metadata, citation/assay issues.",implemented_and_verified,"publication_blockers.csv now has blocker.kind, severity, field, action, unlockable, taxonomicStatus, publicationBucket and exportState. scientificName conflict gate added and tested.",backend/app/barcode/artifacts.py; backend/app/barcode/compiler.py; backend/tests/test_barcode_compiler.py; reports/adversarial-100-sequences/publication_blockers.csv
DOCX-P0-7,Reference incompleteness must be explicit; full RCI 2.0 and leave-one-out validation should prevent false safety.,contest_safe_partial_full_methodology_roadmap,reference_completeness_audit.csv explicitly marks rci2_status=not_measured_without_external_reference_audit and claim_scope=bounded_to_supplied_reference_context_not_absolute_species_truth. Full RCI 2.0 metrics and leave-one-out validation are not faked and remain documented roadmap.,backend/app/barcode/compiler.py; backend/app/barcode/artifacts.py; reports/competition-100-sequences/reference_completeness_audit.csv; docs/testing.md
DOCX-P0-8,"Avoid genome-wide overclaim and present Molecular Evidence Graph as bounded roadmap, not solved full genome truth.",implemented_as_safe_language_and_roadmap,UI non-claims and presentation copy distinguish current Barcode-to-GBIF compiler from future Molecular Evidence Graph; package wording changed from GBIF-ready package to publication evidence package where appropriate.,frontend/src/App.jsx; frontend/src/App.test.jsx; docs/submission.md; submission-assets/gbif-2026-final-submission-pack.md
DOCX-P0-9,External database provenance and reproducibility manifests must be preserved.,implemented_and_verified,"reference_manifest.json, source_provenance_manifest.json, run fingerprints and artifact checksums are exported. Competition report records evidence_pack.zip SHA-256.",backend/app/barcode/compiler.py; reports/competition-100-sequences/source_provenance_manifest.json; reports/competition-100-sequences/reference_manifest.json; reports/competition-100-sequences/competition_100_sequence_report.md
DOCX-P0-10,Add real negative/no-match/adversarial 100-record stress suite and measure false species-safe rate.,implemented_and_verified,"adversarial 100 run in Docker: expected decisions matched, hard_gate_failures=0, false species-safe outside positive controls=0.",reports/adversarial-100-sequences/adversarial_100_sequence_report.md; reports/adversarial-100-sequences/adversarial_100_sequence_results.csv
DOCX-API-UI,Backend/frontend/API/Docker/browser flows must work for contest demonstration.,implemented_and_verified,backend pytest 53 passed/1 skipped; frontend 13 passed; build passed; docker compose healthy on 13100/18100; docker_smoke passed; browser smoke clicked Run compiler/Run selected demo/Visual lecture with no console errors.,reports/final-audit-2026-06-14/final_document_alignment_report.md; docs/testing.md
