sequenceID,blocker.kind,severity,field,blocker,action,unlockable,taxonomicStatus,publicationBucket,exportState
ADV100-011-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-012-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-013-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-014-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-015-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-016-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-017-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-018-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-019-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-020-close_sibling_ambiguity,publication,hard,,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,yes_after_repair,genus-safe,publishable_candidate,dwc_template_ready
ADV100-021-weak_coverage_short_fragment,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
ADV100-021-weak_coverage_short_fragment,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
