sequenceID,decisionClass,taxonomicStatus,publicationStatus,publicationStage,publicationBucket,exportState,referenceCompletenessStatus,markerProfile,assayType,candidateTaxon,candidateRank,publishedTaxon,publishedRank,matchType,topHit,identity,queryCoverage,barcodeGap,diagnosticKmerSupport,diagnosticPFalsePositive,blockers
COMP100-001-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-002-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-003-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-004-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-005-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-006-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-007-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-008-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-009-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-010-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-011-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-012-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-013-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
COMP100-014-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,Aedes albopictus,species,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,
